Month,Energy,CDD,HDD,Peak_Day,Pk_Day_Type,Peak_Demand,Peak_Hour,Peak_DB,Peak_DP,Peak_WTHI,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,OnPk_DA_LMP,OnPk_RT_LMP,OffPk_DA_LMP,OffPk_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
1,1051,0,1331,21,1,"1,944",18,0,-10,0,955,161.27,56.43,51.22,62.75,58.54,50.75,44.65,194.15,116
2,919,0,1110,12,2,"1,770",18,18,14,0,998,59.67,35.76,37.08,38.68,39.46,33.11,34.91,170.29,12
3,945,0,1021,6,3,"1,694",19,18,-5,0,854,65.68,37.99,36.88,40.62,37.39,35.82,36.47,251.03,14
4,836,1,586,9,2,"1,472",18,35,33,44,803,67.52,26.76,26.64,29.30,28.38,24.34,24.97,247.18,2
5,842,3,336,20,1,"1,494",19,74,61,69,792,38.90,24.23,22.90,26.85,25.69,21.88,20.39,89.90,97
6,888,18,60,28,5,"1,853",18,88,54,75,809,45.69,22.13,22.47,25.29,24.79,19.61,20.60,263.89,35
7,1148,135,0,30,2,"2,299",17,93,64,80,919,41.80,29.68,29.43,34.05,30.37,25.75,28.59,164.92,16
8,1034,54,20,19,1,"2,157",15,88,68,78,863,52.18,26.00,23.85,31.00,26.63,21.52,21.35,112.68,40
9,854,10,162,23,1,"1,762",19,80,63,74,821,37.44,21.29,20.59,24.32,23.65,18.87,18.13,209.11,20
10,853,0,447,7,1,"1,455",19,57,55,59,819,36.08,20.73,20.37,23.65,22.86,17.86,17.94,82.58,9
11,909,0,928,13,3,"1,722",18,22,5,0,869,124.72,32.37,34.48,36.77,39.40,28.85,30.53,401.94,20
12,1025,0,1151,19,4,"1,858",18,14,-3,0,935,128.00,40.80,42.58,45.96,51.67,36.55,35.10,277.19,79
